gene	cor	p	phase
ENSG00000182985	0.189755625079541	1.30361061401126e-08	M
ENSG00000115355	0.227812492609502	7.17673243550146e-12	M
ENSG00000137500	0.135871121951933	5.06015245505116e-05	M
ENSG00000145386	0.627866405610846	4.29083961687162e-98	M
ENSG00000157456	0.358064696795106	3.92112726669476e-28	M
ENSG00000117399	0.56597554743414	5.23823073135386e-76	M
ENSG00000101224	0.431449650387775	2.19977828535564e-41	M
ENSG00000004897	0.333703817554844	1.9515010721343e-24	M
ENSG00000128283	0.222014874379953	2.47039178227647e-11	M
ENSG00000111665	0.559853543312193	4.53184014942135e-74	M
ENSG00000115163	0.582171470228324	2.4777178552143e-81	M
ENSG00000117724	0.67414920937743	3.42173188204148e-118	M
ENSG00000138180	0.616149414857181	1.56486324523382e-93	M
ENSG00000136108	0.477854825581586	1.26387419074126e-51	M
ENSG00000175216	0.38408240055937	1.87825777892604e-32	M
ENSG00000173207	0.551329258094277	1.93708278052333e-71	M
ENSG00000123975	0.630488586018035	3.84311026435135e-99	M
ENSG00000102974	0.181999858019645	5.06080522901702e-08	M
ENSG00000044115	0.148143661778283	9.74203146755943e-06	M
ENSG00000198561	0.238783313835418	6.30100564667387e-13	M
ENSG00000024526	0.576542488517544	1.89939280367627e-79	M
ENSG00000139734	0.349272047634003	9.23644231456992e-27	M
ENSG00000086061	0.275554676628141	7.22533464428136e-17	M
ENSG00000132002	0.295014157329354	3.27225204726325e-19	M
ENSG00000117505	0.259530805821729	4.49781420698644e-15	M
ENSG00000114346	0.521332497013134	9.25715208925989e-63	M
ENSG00000111206	0.429626323718882	5.16790218438076e-41	M
ENSG00000010810	0.233604471639051	2.01750399801046e-12	M
ENSG00000116717	0.104860224381702	0.00179677226780899	M
ENSG00000198055	0.184370718530982	3.3634944039888e-08	M
ENSG00000075218	0.59241512793861	7.38824826148612e-85	M
ENSG00000172534	0.27168000618256	2.01278728929114e-16	M
