PHASE	Cell	PC1	PC2	time
G1/S	C452	1.11392359459251	-1.16558132738994	0
G1/S	C459	3.91750679058294	-1.18757209081677	0
G1/S	C462	5.1021648164394	0.108828184235131	0
G1/S	C467	-0.0884322890978456	4.15822423072314	0
G1/S	C470	2.99656126259324	4.24320236141383	0
G1/S	C471	2.73736535076813	1.77722136539964	0
G1/S	C479	2.69839311647931	-2.97950579214275	0
G1/S	C480	11.9978118629987	-0.60683892930484	0
G1/S	C482	-0.67472993020513	4.17887591314854	0
G1/S	C485	7.37501926354058	1.72675800833503	0
G1/S	C486	1.395892793533	4.03147515574843	0
G1/S	C489	-0.418569596621426	4.49170615261346	0
G1/S	C490	5.62612592331994	-0.30542397735764	0
G1/S	C491	7.81394430140739	-0.129788786816049	0
G1/S	C492	7.3998130191598	-0.0371740624987546	0
G1/S	C496	5.0333040738281	-0.383976262404489	0
G1/S	C507	7.12984738823985	-2.69732850913071	0
G1/S	C508	-1.06997527659134	4.14609329780037	0
G1/S	C509	4.79368985605139	1.65712906051327	0
G1/S	C513	6.99771508551307	-0.160772866932571	0
G1/S	C516	1.94514965268355	3.34414300475004	0
G1/S	C522	-0.519551670554493	4.81082054156477	0
G1/S	C524	-0.188811109117293	3.18010217032515	0
G1/S	C528	7.2728824205625	1.05085963891943	0
G1/S	C530	7.20664752286719	1.26436789670462	0
G1/S	C531	3.59529410015123	0.271636487623692	0
G1/S	C532	7.0895701979914	-1.2365833541195	0
G1/S	C533	0.200632832264763	1.39109558365258	0
G1/S	C537	2.38006063366831	1.83053221483115	0
G1/S	C539	4.76670857713848	1.71622898386903	0
G1/S	C544	3.84844405130606	1.34686960970078	0
G1/S	C545	2.14180002841772	2.35714726919023	0
G1/S	C547	9.7662421027433	0.263742536579865	0
G1/S	C548	1.76361035644873	2.10955718489328	0
G1/S	C549	-1.19349993854927	4.36019186693133	0
G1/S	C551	3.9553343480859	3.00690489008559	0
G1/S	C559	4.98698529202247	-2.30100531652046	0
G1/S	C564	1.82455690293085	-1.32670611470434	0
G1/S	C568	5.06594221338486	0.0288949755315536	0
G1/S	C569	1.93146169022836	-0.747445514881895	0
G1/S	C570	3.73182677660472	2.21310541532987	0
G1/S	C575	1.88141163039793	2.03281315054233	0
G1/S	C576	2.19965035080052	3.17883822872171	0
G1/S	C581	0.442335939113398	3.56972354495017	0
G1/S	C584	6.36940943119804	-0.769904644810529	0
G1/S	C590	5.26765688845234	1.86061213780009	0
G1/S	C597	1.90911680745312	0.486845105301983	0
G1/S	C598	4.14791151631746	5.74646285000184	0
G1/S	C599	0.145230782960686	3.59148327070915	0
G1/S	C600	1.13681929690616	1.86379262805727	0
G1/S	C603	-0.0194011893787996	3.76126102135671	0
G1/S	C609	6.59046166996004	-0.355512666753465	0
G1/S	C611	3.31193392261966	-1.57839857118755	0
G1/S	C613	4.4315612254208	3.15463189606504	0
G1/S	C615	7.52460158695576	-1.45639096025104	0
G1/S	C620	0.759283457420085	4.67908866428264	0
G1/S	C631	4.75407058720636	-0.287877198129177	0
G1/S	C632	3.33298377667347	3.55150885873473	0
G1/S	C635	1.58308306319891	3.98230737136841	0
G1/S	C636	1.20645799825251	4.58906896706084	0
G1/S	C642	8.97103917230652	-3.54954222789133	0
G1/S	C643	1.82427405652427	1.3957206012205	0
G1/S	C645	2.63441241951461	0.99543994525575	0
G1/S	C648	1.53444393105752	4.86428328154002	0
G1/S	C653	4.76295297042048	1.16656005282606	0
G1/S	C655	4.84316034441424	1.1344880691522	0
G1/S	C660	2.67699388128977	1.58682434350903	0
G1/S	C673	1.62530068851907	3.65162859629347	0
G1/S	C681	2.76963204006461	-1.8708680159159	0
G1/S	C687	3.65135913252469	-0.520562969383276	0
G1/S	C688	0.908539968709686	4.42698969160966	0
G1/S	C700	1.99163250975605	-1.29596841470945	0
G1/S	C710	5.26411210284085	1.07700573454803	0
G1/S	C711	0.842567751241738	5.69168090826318	0
G1/S	C713	3.35652945184317	0.428052643045545	0
G1/S	C714	6.68615787135756	-2.04337364728321	0
G1/S	C716	5.99970933570468	-3.59767508949909	0
G1/S	C718	5.29637225196332	0.0232832960011993	0
G1/S	C719	3.52324738993754	-0.284576206650838	0
G1/S	C724	3.90784733760894	0.74562521975574	0
G1/S	C728	1.49324261636783	3.10135594136769	0
G1/S	C735	1.70422546005998	0.98175907250885	0
G1/S	C737	1.26013519686617	2.63000343544871	0
G1/S	C751	8.44725497113603	-0.364327941050242	0
G1/S	C752	2.98020242093192	3.58205180023288	0
G1/S	C757	0.550119914058171	2.64588900478374	0
G1/S	C758	5.23789513867075	-0.00760843930031967	0
G1/S	C771	4.85885039610268	0.726992327723688	0
G1/S	C776	3.71118758610749	-1.49811889076996	0
G1/S	C777	6.29799957886691	0.782728384054242	0
G1/S	C779	4.34857923746256	-0.305481851372511	0
G1/S	C780	3.24786250037601	-0.0276814402947218	0
G1/S	C788	1.82892107735304	2.52184934355537	0
G1/S	C789	5.08803643366698	2.76285105197584	0
G1/S	C792	7.08827739297658	-2.80800126346203	0
G1/S	C793	7.55800558269728	0.0404008761286153	0
G1/S	C806	5.68151036760439	2.02910352476577	0
G1/S	C812	2.53933514242835	2.39539360468805	0
G1/S	C814	2.46975691019246	0.0229643059402831	0
G1/S	C818	4.41201810662668	2.52648181636324	0
G1/S	C819	1.27704170166791	3.48586909732909	0
G1/S	C821	3.58784660268674	2.3914199822107	0
G1/S	C823	4.62569216546714	0.688281679430178	0
G1/S	C825	5.02554054860861	-0.509012198755578	0
G1/S	C826	8.40880814845219	-2.17185044200346	0
G1/S	C828	-1.0065062358457	0.126696487731419	0
G1/S	C830	2.87819208424081	1.33397552716084	0
G1/S	C832	4.88213446452884	-1.54836024996364	0
G1/S	C838	2.08979747026632	4.06933965789392	0
G1/S	C846	0.785281034900923	1.64768563290481	0
G1/S	C849	-0.693974410688707	2.9162456786625	0
G1/S	C851	2.9173625622492	-1.1823731152665	0
G1/S	C853	1.08644644718793	3.71270114866927	0
G1/S	C860	3.43419341759171	-1.85476272903879	0
G1/S	C862	9.6854210904771	0.70117678762997	0
G1/S	C863	2.73396251871538	2.32847351662179	0
G1/S	C870	2.35685195531035	-3.09047788711964	0
G1/S	C873	1.95346759980642	-1.3627850906791	0
G1/S	C874	0.782051368398575	3.74033923071995	0
G1/S	C875	7.18060677697523	0.426965336593947	0
G1/S	C884	1.82341458896361	6.51315024527984	0
S	C115	4.64141444096899	-4.52337320315703	1
S	C667	4.54363431975325	0.415833508570838	1
S	C160	4.32003893534457	2.95494905762378	1
S	C565	4.16407511384902	1.26204746205926	1
S	C433	3.55090326987568	1.72900578870349	1
S	C488	3.54759110753783	0.12017372420626	1
S	C209	3.45821478335716	2.37861180015831	1
S	C343	3.20388636511189	-0.277784323037138	1
S	C391	3.09195804644182	2.91506959510405	1
S	C502	3.02146907635552	1.76912670708551	1
S	C621	2.77185998360049	2.53239785800939	1
S	C304	2.76287961084412	4.25851373266021	1
S	C602	2.60577493587277	2.4142821560859	1
S	C7	2.56743694093105	2.13281485333002	1
S	C754	2.49568903956616	1.5724507066323	1
S	C529	2.22872844340306	1.27459717823637	1
S	C251	2.20740818101459	6.10217290654834	1
S	C864	1.96621450929972	4.14628708763915	1
S	C184	1.95096759397071	4.80813459598723	1
S	C543	1.87416391575869	4.23911297361488	1
S	C607	1.84256436978851	3.27349632145136	1
S	C578	1.78186513028909	4.4809962482385	1
S	C726	1.76764308160244	4.3515269179757	1
S	C616	1.73736373422287	3.34448227083057	1
S	C307	1.70793942195603	3.26373532719856	1
S	C441	1.63342013295692	0.556085055613313	1
S	C249	1.61103898262411	4.95408311796912	1
S	C359	1.59869588401685	1.70840688257853	1
S	C879	1.41984406745564	3.48015441142553	1
S	C454	1.41182690741196	4.6204627129109	1
S	C170	1.3560548111665	2.80121039146498	1
S	C186	1.34371489744483	4.10674308077926	1
S	C628	1.34170211441499	3.9413823647577	1
S	C604	1.299552088281	3.14609625983965	1
S	C618	1.11753417396024	2.66292522669261	1
S	C807	1.1002153706142	4.63187416241494	1
S	C883	1.01462955734944	3.99695385815395	1
