"cx" "sd" "size" "expr_size" "expr"
"357" "COM_193" 0.217153316628623 3 0 "no"
"358" "COM_194" 1.6800119200741 3 1 "no"
"359" "COM_195" 0.243015986543074 4 1 "no"
"360" "COM_196" 0.574868242613461 4 1 "no"
"361" "COM_197" 0.208751991975322 3 1 "no"
"362" "COM_199" 0.275923051322151 3 0 "no"
"363" "COM_200" 1.21437904877256 3 2 "expr"
"364" "COM_201" 0.944517816399335 4 0 "no"
"365" "COM_202" 0.777866923071138 7 1 "no"
"366" "COM_205" 0.0428634292292537 4 2 "no"
"367" "COM_209" 0.102467710521052 5 1 "no"
"368" "COM_211" 0.171226160730799 3 0 "no"
"369" "COM_215" 0.241063255842714 3 3 "expr"
"370" "COM_216" 0.203049815959405 3 2 "expr"
"371" "COM_218" NA 3 0 "no"
"372" "COM_22" 0.522309454138545 9 2 "no"
"373" "COM_220" 0.632905723530783 9 1 "no"
"374" "COM_221" 0.294643873214375 6 0 "no"
"375" "COM_222" 0.292634304619138 6 0 "no"
"376" "COM_223" 0.722571387743621 6 1 "no"
"377" "COM_224" 0.900459928622077 4 1 "no"
"378" "COM_226" 0.876079552307238 5 0 "no"
"379" "COM_227" 0.104991205655443 3 0 "no"
"380" "COM_2272" 0.106557299344238 3 1 "no"
"381" "COM_2273" 0.130861003689747 3 2 "expr"
"382" "COM_2275" 0.330158999366385 3 1 "no"
"383" "COM_2276" 0.207721724088685 4 2 "no"
"384" "COM_2279" 0.868112689961724 3 0 "no"
"385" "COM_228" 0.0867052681501987 3 2 "expr"
"386" "COM_2280" 0.124309161380519 3 0 "no"
"387" "COM_2282" 0.835322225362129 3 0 "no"
"388" "COM_2283" 0.279866929377663 3 1 "no"
"389" "COM_2286" 0.204651168813329 13 4 "no"
"390" "COM_2287" 0.211236716259984 14 5 "no"
"391" "COM_2288" 0.211963953159779 5 1 "no"
"392" "COM_229" 0.403406316886481 3 0 "no"
"393" "COM_2291" NA 1 1 "expr"
"394" "COM_2293" 0.242100836719923 5 1 "no"
"395" "COM_2294" 0.45920483499447 5 1 "no"
"396" "COM_2295" 0.753975090174204 8 1 "no"
"397" "COM_2296" 0.529064724020753 12 0 "no"
"398" "COM_2298" 0.202202081139144 17 6 "no"
"399" "COM_2299" 0.237577909748065 10 4 "no"
"400" "COM_230" 1.27995813977639 3 1 "no"
"401" "COM_2300" 0.186251042647346 12 4 "no"
"402" "COM_2301" 0.325006365246023 25 7 "no"
"403" "COM_2302" 0.288455561539921 12 4 "no"
"404" "COM_2303" 0.263470458595909 11 3 "no"
"405" "COM_2304" 0.128378749111777 5 1 "no"
"406" "COM_2305" 0.209081849267494 3 1 "no"
"407" "COM_2306" 0.119949939234337 5 1 "no"
"408" "COM_2307" 0.125876608090957 9 3 "no"
"409" "COM_2308" 0.326971123384839 3 0 "no"
"410" "COM_2309" 0.188404961933593 14 7 "no"
"411" "COM_231" 0.22489644510188 6 2 "no"
"412" "COM_2310" 0.0952719244048788 3 0 "no"
"413" "COM_2311" 0.268459235959287 4 2 "no"
"414" "COM_2312" 0.806734783898978 5 0 "no"
"415" "COM_2316" 0.044180706149941 2 1 "no"
"416" "COM_2317" 1.10325059210016 4 0 "no"
"417" "COM_2319" 0.893409362855971 4 0 "no"
"418" "COM_232" 0.17957553432221 3 0 "no"
"419" "COM_2321" 1.22484370566181 5 1 "no"
"420" "COM_2322" 0.562939679551773 24 6 "no"
"421" "COM_2323" 0.73295004786978 9 2 "no"
"422" "COM_2325" 0.549990696569107 7 0 "no"
"423" "COM_2327" 0.267069424547712 4 0 "no"
"424" "COM_2328" 0.587758935501186 12 5 "no"
"425" "COM_2329" 0.690156765503791 12 3 "no"
"426" "COM_2330" 0.856552070222188 4 1 "no"
"427" "COM_2331" 0.504023365430342 14 7 "no"
"428" "COM_2332" 0.28040513228505 15 3 "no"
"429" "COM_2335" 0.345189903783637 3 2 "expr"
"430" "COM_2337" 0.872198929087152 4 0 "no"
"431" "COM_2338" 0.61852736128998 9 3 "no"
"432" "COM_2339" 0.649048279905575 12 5 "no"
"433" "COM_234" 0.700586985451901 4 1 "no"
"434" "COM_2341" 0.381468869618083 3 1 "no"
"435" "COM_2342" 0.400249299920848 4 2 "no"
"436" "COM_2343" 0.364793376243982 3 0 "no"
"437" "COM_2344" 0.229396479659938 3 0 "no"
"438" "COM_2345" 0.707298522494793 3 2 "expr"
"439" "COM_2346" 0.707278445618985 3 0 "no"
"440" "COM_2347" 0.185027985364665 4 0 "no"
"441" "COM_2349" 0.128646080568346 3 0 "no"
"442" "COM_235" 0.664233874770595 4 2 "no"
"443" "COM_2350" 0.206461970691694 3 0 "no"
"444" "COM_2351" 0.245996475034731 3 0 "no"
"445" "COM_2352" 0.128737449074103 3 0 "no"
"446" "COM_2353" 0.109433435130665 3 0 "no"
"447" "COM_2355" 0.0262996078869222 5 1 "no"
"448" "COM_236" 0.782774927444002 3 0 "no"
"449" "COM_2361" 0.183751957216126 3 1 "no"
"450" "COM_2362" 0.182221540634773 3 1 "no"
"451" "COM_2363" 0.132923819142801 2 1 "no"
"452" "COM_2364" 0.341206726229391 2 0 "no"
"453" "COM_2365" 0.235625999610796 3 1 "no"
"454" "COM_2366" 0.0364609856403187 3 1 "no"
"455" "COM_2367" 0.422331038591032 3 1 "no"
"456" "COM_2370" 0.466501933508624 7 1 "no"
"457" "COM_2375" 0.183630891705674 3 1 "no"
"458" "COM_2377" 1.12934260648041 3 1 "no"
"459" "COM_2378" 1.22659162812002 3 0 "no"
"460" "COM_2379" 0.12724627017382 3 0 "no"
"461" "COM_238" 0.166616620411701 6 2 "no"
"462" "COM_2380" 0.263752462308414 3 0 "no"
"463" "COM_2381" 0.238519523791834 4 1 "no"
"464" "COM_2383" 0.203047449159699 5 1 "no"
"465" "COM_2385" 0.155053454408483 3 2 "expr"
"466" "COM_2387" 1.03068122934347 4 1 "no"
"467" "COM_2388" 0.619908716365523 3 1 "no"
"468" "COM_2389" 0.321485647297442 4 2 "no"
"469" "COM_239" 0.040409068879034 3 1 "no"
"470" "COM_2390" 0.819289480547491 8 1 "no"
"471" "COM_2391" 0.250695785124069 4 1 "no"
"472" "COM_2392" 0.264892243703653 3 0 "no"
"473" "COM_2393" 0.993833415132808 3 0 "no"
"474" "COM_2394" 0.142931998200618 3 1 "no"
"475" "COM_24" 1.27950442931909 3 1 "no"
"476" "COM_240" 0.223764901230261 3 1 "no"
"477" "COM_2400" 0.170523253486235 3 1 "no"
"478" "COM_2402" 0.157825829283625 3 1 "no"
"479" "COM_2403" 0.447346659453601 3 1 "no"
"480" "COM_2404" 0.347389342749723 3 0 "no"
"481" "COM_2405" 0.377394791401407 3 1 "no"
"482" "COM_2407" 0.471652086366187 3 1 "no"
"483" "COM_241" 0.492667297868297 4 0 "no"
"484" "COM_2412" 0.751457585937335 6 3 "no"
"485" "COM_2415" NA 3 0 "no"
"486" "COM_2416" 1.02843867538154 3 0 "no"
"487" "COM_2418" 0.946218993287932 4 0 "no"
"488" "COM_2419" 0.428452996335192 4 1 "no"
"489" "COM_242" 0.248179119468215 11 5 "no"
"490" "COM_2432" 0.0873656630147069 2 1 "no"
"491" "COM_2434" 0.551250146539595 6 0 "no"
"492" "COM_2438" 0.40700042264579 3 2 "expr"
"493" "COM_2440" 0.89855701219233 3 1 "no"
"494" "COM_2444" 0.427971833567202 3 0 "no"
"495" "COM_2446" 1.48909650875447 3 0 "no"
"496" "COM_245" 0.194882588108406 4 1 "no"
"497" "COM_2450" 0.962959456452996 3 1 "no"
"498" "COM_2451" 0.225940463392575 4 0 "no"
"499" "COM_2454" 0.204308351766349 4 2 "no"
"500" "COM_2455" 0.410361643910049 7 1 "no"
"501" "COM_2462" 0.312719523469189 5 2 "no"
"502" "COM_2463" 0.37830955936242 3 2 "expr"
"503" "COM_2467" 0.25561730448515 4 1 "no"
"504" "COM_2469" 1.12290383156195 3 2 "expr"
"505" "COM_247" 0.274134284499415 3 2 "expr"
"506" "COM_2470" 0.124068870336106 2 1 "no"
"507" "COM_2471" 0.430237172209031 3 0 "no"
"508" "COM_2472" 0.34224135455329 4 1 "no"
"509" "COM_2473" 0.325931419816056 5 2 "no"
"510" "COM_2474" 1.26847256488672 3 1 "no"
"511" "COM_2478" 0.56032537125821 3 1 "no"
"512" "COM_2479" 0.431375243875294 5 3 "no"
"513" "COM_2480" 0.547496257541335 4 3 "expr"
"514" "COM_2482" 0.403044156946428 2 1 "no"
"515" "COM_2484" 0.252660516438635 6 3 "no"
"516" "COM_2485" 0.141075551591356 7 3 "no"
"517" "COM_2486" 1.13564233380812 3 1 "no"
"518" "COM_249" 0.160826644731039 3 0 "no"
"519" "COM_2490" 0.290185734930949 3 1 "no"
"520" "COM_2491" 0.343575111550584 7 3 "no"
