Symbol	Liver_d16_Cyt49	Liver_d5_Cyt49	Liver_d8_Cyt49	Panc_d12_Cyt49	Panc_d5_Cyt49	Panc_d8_Cyt49	ESC_Cyt49
KIAA1529	92.13646447	87.77476513	99.80113055	90.00625649	90.2321333	93.87848389	92.20392669
KIAA1530	148.3533116	148.4020311	171.7988394	145.2276431	145.3125034	160.5734392	132.5265804
KIAA1539	243.6808872	224.1125007	441.9672067	210.5952073	222.5663348	319.4006489	172.1592046
KIAA1543	151.7595406	130.3140341	179.7227278	141.6139935	142.8094794	159.9800115	120.558915
KIAA1545	199.6119525	122.750752	205.4022781	209.1881355	161.3070074	210.7828043	109.1692566
KIAA1549	121.3337499	118.9670783	137.2284872	128.4407467	125.6814926	134.7934615	117.0291176
KIAA1553	98.90560689	103.7657782	93.41867625	98.98979641	102.5349873	103.8556292	99.57993127
KIAA1571	167.8978383	145.8415794	183.8202046	171.5190568	164.330809	153.9191577	180.8442363
KIAA1586	159.8000381	215.375517	197.5465694	187.2795504	234.1360511	218.5760907	215.6663297
KIAA1598	874.9903101	800.4996331	1098.466206	1282.889126	823.9855555	1572.983538	541.5350569
KIAA1600	592.6172961	723.853075	859.1869875	728.7580553	764.0920457	841.5058333	504.6247011
KIAA1602	191.6495336	166.4632035	236.181319	218.2163854	183.273717	204.6416656	206.5556984
KIAA1609	121.7476372	115.8679438	122.5230146	126.012265	114.5173764	127.3376546	113.6912175
KIAA1614	91.68105675	91.13588211	92.49768887	92.7522024	97.27017633	94.90825989	91.35010292
KIAA1618	150.9237462	121.2076876	214.2844948	201.4941035	131.5639335	203.9828456	122.1639467
KIAA1632	116.6903316	118.7635773	120.6515867	112.7510538	120.1700302	116.6974607	115.5078056
KIAA1641	142.8470444	120.0876699	175.1234714	159.5284251	127.0930607	152.6479874	120.1446624
KIAA1644	104.3667317	112.5636802	119.1988501	113.5572137	108.9019128	123.0576446	137.2031858
KIAA1648	89.714076	96.13085763	88.42000399	89.32068341	95.39119289	92.51797242	92.09875564
KIAA1660	102.1291814	106.4912174	96.40254432	104.8687841	98.30672888	92.03313899	102.6359634
KIAA1666	108.1329028	115.1409547	115.1086116	114.4485479	106.506127	115.8122936	140.2385616
KIAA1671	1032.752564	731.5657916	1222.527931	1337.589841	1046.765621	1141.287103	697.4129518
KIAA1683	145.4980321	110.6087497	147.3147293	179.9501972	124.2181529	274.9495242	121.7594851
KIAA1688	630.2408111	410.7308697	758.4028034	895.5098428	576.8013882	1083.000559	371.5905037
KIAA1704	117.7447649	143.4521293	128.4887038	130.686122	144.2788945	129.1269581	123.8874463
KIAA1712	401.1264915	701.4032472	352.232279	611.6578161	576.6532806	455.1992166	492.9237102
KIAA1715	224.2352871	141.5236341	203.6875188	220.6567876	183.6475221	167.0355079	142.2588473
KIAA1731	394.207838	553.3706695	419.5937558	462.1982794	503.1366609	432.8974856	305.4625715
KIAA1737	440.0290282	455.94819	429.0210479	617.6611063	558.0826498	710.9297305	614.4999382
KIAA1751	890.7517126	483.9846536	1121.446135	887.132658	645.2689016	1168.674945	614.1029363
KIAA1755	91.63935751	94.95476842	91.97135814	90.74160239	93.66237038	90.97044608	95.56343957
KIAA1772	115.4065271	108.835743	116.0228431	120.5598252	141.75974	131.2298487	97.47365469
KIAA1797	394.4535362	313.3766331	323.4044571	375.57728	376.4388988	403.2170804	422.6801084
KIAA1804	127.5223014	146.2331805	200.5258322	122.6029045	134.7934609	131.5112885	160.258655
KIAA1826	720.0386682	613.8696214	643.1659859	885.7923527	661.5488265	847.2312283	596.3687302
KIAA1841	95.27485444	108.2553877	100.6886305	101.5372932	94.30922597	102.3669633	100.2660389
KIAA1843	108.2523805	105.2833055	109.5302014	111.9027957	111.8164842	111.3582105	107.7963352
KIAA1862	123.7544172	142.5709929	135.3937387	128.3042895	141.6399572	126.9368338	138.221278
KIAA1875	153.4631083	119.3508885	143.2374243	144.7345944	126.1664944	139.1715422	117.8396663
KIAA1881	118.2052402	130.4873002	113.9343045	112.9512971	128.618773	116.0089031	111.3150972
KIAA1906	93.51405003	98.81409381	91.61131399	96.55885689	92.48877821	98.39204856	163.96818
KIAA1908	167.4678467	125.6193505	173.8179328	162.1476566	138.1528803	197.7306854	148.264555
KIAA1919	99.52566026	99.20042371	106.4178385	110.6708603	104.0636153	102.2343237	100.1566915
KIAA1920	131.943024	96.80896247	101.9663847	104.930826	102.5978394	106.1195081	100.2790753
KIAA1922	96.00141294	100.7319079	92.57723404	104.9326124	92.25506584	97.77668911	96.53554881
KIAA1949	437.9525388	495.9942755	627.6845993	512.5908556	484.896759	608.6672002	474.372333
KIAA1957	100.3798498	101.7630123	99.13836203	98.11930229	95.12977857	94.55126895	98.04460199
KIAA1958	310.8487856	310.775644	308.4122346	243.5853861	265.9830998	218.1142939	254.368785
KIAA1967	265.8314965	356.7080159	362.0012818	320.4753932	416.9572897	420.2209531	360.0453657
KIAA1975	95.16172685	93.24116807	105.1698949	96.97445936	105.3354064	93.59983542	97.69513299
KIAA1984	307.7227572	182.1659998	282.3080105	157.7492779	265.4602677	139.8114332	117.4961126
KIAA2010	482.9629163	438.7256168	518.7507478	549.2435859	486.4314149	500.0846901	507.2451868
KIAA2013	572.0115849	420.2231911	502.339113	396.7873551	458.7054755	410.0757807	643.0956735
KIAA2018	95.24514098	104.4649085	96.80657288	95.95161357	102.1510778	91.70545956	95.55988509
KIAA2022	93.36443659	101.3476756	93.1546108	107.699345	95.84483052	99.71517965	105.6901801
KIAA2026	173.6063417	175.9909108	201.2314794	165.745953	190.0228084	182.7334527	147.9706658
KIDINS220	959.4427716	601.4986204	1285.351931	1276.260093	847.8871386	1684.96271	548.6054596
KIF11	258.1805592	785.7044899	320.1780533	401.2967628	1008.418741	221.5011183	772.6556815
KIF12	547.3466879	124.8455968	278.250071	309.5746113	289.6401531	182.4114872	97.59094805
KIF13A	105.3718806	114.7746495	108.1353991	102.8701097	102.0691357	101.896056	111.3895513
KIF13B	586.4718874	260.9326232	352.2304976	560.0147692	392.2458426	558.707184	208.0105072
